SYMBOL,INTERVAL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HDFC.NS,D,1994-11-03,2.7,2.75,2.675,2.71,89999.995977
HDFC.NS,D,1994-11-07,2.67,2.67,2.6510000000000002,2.6510000000000002,19999.999106
HDFC.NS,D,1994-11-08,2.75,2.775,2.75,2.775,69999.99687100001
HDFC.NS,D,1994-11-10,2.8,2.8,2.8,2.8,9999.999553
HDFC.NS,D,1994-11-11,2.75,2.775,2.75,2.7675,39999.998212
HDFC.NS,D,1994-11-14,2.75,2.76,2.75,2.76,19999.999106
HDFC.NS,D,1994-11-16,2.775,2.775,2.775,2.775,9999.999553
HDFC.NS,D,1994-11-23,2.675,2.675,2.675,2.675,9999.999553
HDFC.NS,D,1994-11-24,2.7,2.71,2.7,2.71,19999.999106
HDFC.NS,D,1994-11-25,2.67,2.7,2.67,2.69275,59999.997317999994
HDFC.NS,D,1994-11-29,2.675,2.675,2.675,2.675,9999.999553
HDFC.NS,D,1994-11-30,2.725,2.7975,2.725,2.772,269999.98793
HDFC.NS,D,1994-12-01,2.725,2.725,2.725,2.725,19999.999106
HDFC.NS,D,1994-12-02,2.725,2.725,2.7239999999999998,2.7239999999999998,39999.998212
HDFC.NS,D,1994-12-05,2.725,2.725,2.675,2.675,519999.976754
HDFC.NS,D,1994-12-06,2.645,2.675,2.645,2.67,239999.989271
HDFC.NS,D,1994-12-07,2.6,2.6,2.6,2.6,1009999.954849
HDFC.NS,D,1994-12-08,2.5,2.5,2.475,2.475,19999.999106
HDFC.NS,D,1994-12-09,2.5,2.5,2.5,2.5,29999.998658999997
HDFC.NS,D,1994-12-12,2.475,2.475,2.4,2.42525,39999.998212
HDFC.NS,D,1994-12-13,2.4,2.4,2.342,2.3480000000000003,79999.996424
HDFC.NS,D,1994-12-14,2.39,2.41,2.39,2.41,69999.99687100001
HDFC.NS,D,1994-12-15,2.425,2.45,2.425,2.445,39999.998212
HDFC.NS,D,1994-12-16,2.5,2.5,2.5,2.5,29999.998658999997
HDFC.NS,D,1994-12-19,2.55,2.575,2.55,2.555,69999.99687100001
HDFC.NS,D,1994-12-20,2.575,2.597,2.55,2.55,7529999.6633830005
HDFC.NS,D,1994-12-21,2.57,2.575,2.57,2.57175,2529999.8869
HDFC.NS,D,1994-12-22,2.525,2.525,2.513,2.513,19999.999106
HDFC.NS,D,1994-12-23,2.5,2.54,2.5,2.54,109999.99508299999
HDFC.NS,D,1994-12-26,2.54,2.55,2.54,2.55,39999.998212
HDFC.NS,D,1994-12-27,2.58,2.58,2.58,2.58,19999.999106
HDFC.NS,D,1994-12-28,2.56,2.57,2.535,2.57,1019999.9544020001
HDFC.NS,D,1994-12-30,2.57,2.575,2.57,2.5722,29999.998658999997
HDFC.NS,D,1995-01-02,2.55,2.58,2.55,2.575,389999.98256599996
HDFC.NS,D,1995-01-03,2.525,2.525,2.475,2.475,119999.99463599999
HDFC.NS,D,1995-01-04,2.51,2.51,2.476,2.476,519999.976754
HDFC.NS,D,1995-01-05,2.455,2.455,2.455,2.455,49999.997765
HDFC.NS,D,1995-01-06,2.44,2.44,2.4,2.4,69999.99687100001
HDFC.NS,D,1995-01-09,2.375,2.375,2.3,2.325,109999.99508299999
HDFC.NS,D,1995-01-10,2.275,2.275,2.15,2.2125,439999.98033
HDFC.NS,D,1995-01-11,2.14,2.19,2.13,2.18,129999.994189
